N   =   100
      approx:        exact:         arma:         relative error(log10)
      10.150368      3.0000000      10.150368     0.37720713
      39.786662      7.0000000      39.786662     0.67059917
      89.089905      11.000000      89.089905     0.85120221
      158.04035      15.000000      158.04035     0.97936732
      246.57456      19.000000      246.57456      1.0783701
      354.60765      23.000000      354.60765      1.1588967
      482.03538      27.000000      482.03538      1.2266814
      628.73459      31.000000      628.73459      1.2851467
      794.56341      35.000000      794.56341      1.3364960
      979.36143      39.000000      979.36143      1.3822302
      1182.9499      43.000000      1182.9499      1.4234173
      1405.1318      47.000000      1405.1318      1.4608441
      1645.6923      51.000000      1645.6923      1.4951067
      1904.3987      55.000000      1904.3987      1.5266679
      2181.0006      59.000000      2181.0006      1.5558935
      2475.2304      63.000000      2475.2304      1.5830782
      2786.8035      67.000000      2786.8035      1.6084627
      3115.4186      71.000000      3115.4186      1.6322460
      3460.7576      75.000000      3460.7576      1.6545946
      3822.4865      79.000000      3822.4865      1.6756492
      4200.2553      83.000000      4200.2553      1.6955297
      4593.6985      87.000000      4593.6985      1.7143393
      5002.4356      91.000000      5002.4356      1.7321671
      5426.0711      95.000000      5426.0711      1.7490909
      5864.1952      99.000000      5864.1952      1.7651788
      6316.3840      103.00000      6316.3840      1.7804910
      6782.2000      107.00000      6782.2000      1.7950805
      7261.1927      111.00000      7261.1927      1.8089948
      7752.8985      115.00000      7752.8985      1.8222760
      8256.8418      119.00000      8256.8418      1.8349623
      8772.5351      123.00000      8772.5351      1.8470877
      9299.4795      127.00000      9299.4795      1.8586830
      9837.1652      131.00000      9837.1652      1.8697764
      10385.072      135.00000      10385.072      1.8803931
      10942.670      139.00000      10942.670      1.8905565
      11509.419      143.00000      11509.419      1.9002876
      12084.772      147.00000      12084.772      1.9096060
      12668.172      151.00000      12668.172      1.9185293
      13259.053      155.00000      13259.053      1.9270740
      13856.846      159.00000      13856.846      1.9352552
      14460.971      163.00000      14460.971      1.9430868
      15070.843      167.00000      15070.843      1.9505818
      15685.874      171.00000      15685.874      1.9577521
      16305.467      175.00000      16305.467      1.9646089
      16929.024      179.00000      16929.024      1.9711624
      17555.941      183.00000      17555.941      1.9774223
      18185.612      187.00000      18185.612      1.9833974
      18817.427      191.00000      18817.427      1.9890962
      19450.776      195.00000      19450.776      1.9945264
      20085.045      199.00000      20085.045      1.9996953
      20719.621      203.00000      20719.621      2.0046098
      21353.891      207.00000      21353.891      2.0092762
      21987.239      211.00000      21987.239      2.0137004
      22619.054      215.00000      22619.054      2.0178882
      23248.725      219.00000      23248.725      2.0218446
      23875.642      223.00000      23875.642      2.0255748
      24499.199      227.00000      24499.199      2.0290833
      25118.793      231.00000      25118.793      2.0323744
      25733.823      235.00000      25733.823      2.0354523
      26343.696      239.00000      26343.696      2.0383207
      26947.821      243.00000      26947.821      2.0409834
      27545.613      247.00000      27545.613      2.0434436
      28136.495      251.00000      28136.495      2.0457046
      28719.894      255.00000      28719.894      2.0477694
      29295.247      259.00000      29295.247      2.0496407
      29861.997      263.00000      29861.997      2.0513212
      30419.595      267.00000      30419.595      2.0528134
      30967.501      271.00000      30967.501      2.0541196
      31505.187      275.00000      31505.187      2.0552419
      32032.131      279.00000      32032.131      2.0561824
      32547.825      283.00000      32547.825      2.0569429
      33051.768      287.00000      33051.768      2.0575252
      33543.474      291.00000      33543.474      2.0579310
      34022.466      295.00000      34022.466      2.0581617
      34488.283      299.00000      34488.283      2.0582188
      34940.471      303.00000      34940.471      2.0581036
      35378.595      307.00000      35378.595      2.0578171
      35802.231      311.00000      35802.231      2.0573607
      36210.968      315.00000      36210.968      2.0567351
      36604.411      319.00000      36604.411      2.0559414
      36982.180      323.00000      36982.180      2.0549802
      37343.909      327.00000      37343.909      2.0538524
      37689.248      331.00000      37689.248      2.0525585
      38017.863      335.00000      38017.863      2.0510991
      38329.436      339.00000      38329.436      2.0494746
      38623.666      343.00000      38623.666      2.0476854
      38900.267      347.00000      38900.267      2.0457317
      39158.974      351.00000      39158.974      2.0436139
      39399.534      355.00000      39399.534      2.0413319
      39621.716      359.00000      39621.716      2.0388859
      39825.304      363.00000      39825.304      2.0362758
      40010.102      367.00000      40010.102      2.0335016
      40175.930      371.00000      40175.930      2.0305630
      40322.629      375.00000      40322.629      2.0274597
      40450.056      379.00000      40450.056      2.0241916
      40558.088      383.00000      40558.088      2.0207581
      40646.620      387.00000      40646.620      2.0171587
      40715.566      391.00000      40715.566      2.0133929
      40764.855      395.00000      40764.855      2.0094601
      40794.415      399.00000      40794.415      2.0053592
