N   =   100
      approx:        exact:         arma:         relative error(log10)
      9.8688087      9.8688046      9.8688087     -6.3808491
      39.465687      39.465671      39.465687     -6.3809499
      88.762003      88.761966      88.762003     -6.3811319
      157.71006      157.71000      157.71006     -6.3813752
      246.24317      246.24307      246.24317     -6.3816911
      354.27567      354.27552      354.27567     -6.3820776
      481.70304      481.70284      481.70304     -6.3825350
      628.40202      628.40176      628.40202     -6.3830636
      794.23067      794.23035      794.23067     -6.3836638
      979.02858      979.02818      979.02858     -6.3843359
      1182.6170      1182.6165      1182.6170     -6.3850805
      1404.7988      1404.7983      1404.7988     -6.3858981
      1645.3593      1645.3586      1645.3593     -6.3867892
      1904.0656      1904.0648      1904.0656     -6.3877544
      2180.6674      2180.6665      2180.6674     -6.3887946
      2474.8973      2474.8962      2474.8973     -6.3899102
      2786.4704      2786.4692      2786.4704     -6.3911023
      3115.0854      3115.0841      3115.0854     -6.3923716
      3460.4244      3460.4230      3460.4244     -6.3937191
      3822.1532      3822.1517      3822.1532     -6.3951457
      4199.9220      4199.9204      4199.9220     -6.3966525
      4593.3653      4593.3635      4593.3653     -6.3982407
      5002.1024      5002.1004      5002.1024     -6.3999114
      5425.7379      5425.7357      5425.7379     -6.4016659
      5863.8620      5863.8596      5863.8620     -6.4035055
      6316.0507      6316.0483      6316.0507     -6.4054317
      6781.8668      6781.8641      6781.8668     -6.4074461
      7260.8594      7260.8566      7260.8594     -6.4095501
      7752.5652      7752.5622      7752.5652     -6.4117455
      8256.5086      8256.5054      8256.5086     -6.4140342
      8772.2019      8772.1985      8772.2019     -6.4164179
      9299.1463      9299.1427      9299.1463     -6.4188988
      9836.8320      9836.8282      9836.8320     -6.4214789
      10384.739      10384.735      10384.739     -6.4241605
      10942.337      10942.333      10942.337     -6.4269460
      11509.086      11509.082      11509.086     -6.4298378
      12084.439      12084.434      12084.439     -6.4328386
      12667.838      12667.834      12667.838     -6.4359512
      13258.720      13258.715      13258.720     -6.4391786
      13856.513      13856.508      13856.513     -6.4425238
      14460.637      14460.632      14460.637     -6.4459902
      15070.510      15070.505      15070.510     -6.4495813
      15685.541      15685.535      15685.541     -6.4533008
      16305.134      16305.128      16305.134     -6.4571525
      16928.691      16928.685      16928.691     -6.4611406
      17555.608      17555.602      17555.608     -6.4652696
      18185.279      18185.273      18185.279     -6.4695441
      18817.094      18817.088      18817.094     -6.4739689
      19450.443      19450.436      19450.443     -6.4785495
      20084.712      20084.705      20084.712     -6.4832913
      20719.288      20719.281      20719.288     -6.4882004
      21353.557      21353.550      21353.557     -6.4932830
      21986.906      21986.899      21986.906     -6.4985459
      22618.721      22618.714      22618.721     -6.5039962
      23248.392      23248.385      23248.392     -6.5096418
      23875.309      23875.302      23875.309     -6.5154907
      24498.866      24498.859      24498.866     -6.5215519
      25118.459      25118.452      25118.459     -6.5278347
      25733.490      25733.482      25733.490     -6.5343493
      26343.363      26343.355      26343.363     -6.5411066
      26947.487      26947.480      26947.487     -6.5481183
      27545.280      27545.272      27545.280     -6.5553970
      28136.162      28136.154      28136.162     -6.5629566
      28719.561      28719.553      28719.561     -6.5708116
      29294.914      29294.906      29294.914     -6.5789783
      29861.663      29861.656      29861.663     -6.5874740
      30419.261      30419.254      30419.261     -6.5963177
      30967.168      30967.160      30967.168     -6.6055301
      31504.854      31504.846      31504.854     -6.6151340
      32031.798      32031.791      32031.798     -6.6251542
      32547.491      32547.484      32547.491     -6.6356181
      33051.435      33051.427      33051.435     -6.6465559
      33543.141      33543.133      33543.141     -6.6580009
      34022.133      34022.126      34022.133     -6.6699903
      34487.949      34487.942      34487.949     -6.6825655
      34940.138      34940.131      34940.138     -6.6957727
      35378.262      35378.255      35378.262     -6.7096640
      35801.898      35801.891      35801.898     -6.7242980
      36210.635      36210.628      36210.635     -6.7397414
      36604.078      36604.072      36604.078     -6.7560700
      36981.847      36981.841      36981.847     -6.7733711
      37343.576      37343.570      37343.576     -6.7917453
      37688.915      37688.909      37688.915     -6.8113096
      38017.530      38017.524      38017.530     -6.8322013
      38329.103      38329.097      38329.103     -6.8545826
      38623.333      38623.327      38623.333     -6.8786475
      38899.934      38899.930      38899.934     -6.9046300
      39158.641      39158.636      39158.641     -6.9328165
      39399.201      39399.197      39399.201     -6.9635623
      39621.383      39621.379      39621.383     -6.9973159
      39824.971      39824.968      39824.971     -7.0346543
      40009.769      40009.766      40009.769     -7.0763374
      40175.598      40175.595      40175.598     -7.1233949
      40322.297      40322.294      40322.297     -7.1772705
      40449.724      40449.722      40449.724     -7.2400788
      40557.757      40557.755      40557.757     -7.3150987
      40646.290      40646.288      40646.290     -7.4078238
      40715.238      40715.237      40715.238     -7.5285534
      40764.534      40764.534      40764.534     -7.7004099
      40794.131      40794.131      40794.131     -7.9971777
